GAME_ID,Team_Name,Team_Code,League,Season,Season_Type,Conference,Division,Week,Game_Number,Goals,Assists,Shots,Saves,Game_Result,Points,Shoutout,Plus/Minus,Away_Team_Name,Away_Team_Code,Away_Team_Goals,Away_Team_Assists,Away_Team_Shots,Away_Team_Saves
1,Sudbury Frostbite,SUD,GLCS,1,REG,,,1,1,0,0,5,7,Loss_Reg,0,No,-2,Detroit Danglers,DET,2,4,9,5
1,Detroit Danglers,DET,GLCS,1,REG,,,1,1,2,4,9,5,Win_Reg,2,Yes,2,Sudbury Frostbite,SUD,0,0,5,7
2,Sudbury Frostbite,SUD,GLCS,1,REG,,,1,2,2,2,4,10,Loss_Reg,0,No,-1,Detroit Danglers,DET,3,6,13,2
2,Detroit Danglers,DET,GLCS,1,REG,,,1,2,3,6,13,2,Win_Reg,2,No,1,Sudbury Frostbite,SUD,2,2,4,10
3,Winnipeg Ice,WIN,GLCS,1,REG,,,1,1,3,6,7,16,Win_OT,2,No,1,Detroit Danglers,DET,2,4,18,4
3,Detroit Danglers,DET,GLCS,1,REG,,,1,1,2,4,18,4,Loss_OT,1,No,-1,Winnipeg Ice,WIN,3,6,7,16
4,Winnipeg Ice,WIN,GLCS,1,REG,,,1,2,1,2,7,10,Loss_Reg,0,No,-3,Detroit Danglers,DET,4,7,14,6
4,Detroit Danglers,DET,GLCS,1,REG,,,1,2,4,7,14,6,Win_Reg,2,No,3,Winnipeg Ice,WIN,1,2,7,10
5,Winnipeg Ice,WIN,GLCS,1,REG,,,1,1,0,0,5,4,Loss_Reg,0,No,-1,Shreveport Mudbugs,MUD,1,2,5,5
5,Shreveport Mudbugs,MUD,GLCS,1,REG,,,1,1,1,2,5,5,Win_Reg,2,Yes,1,Winnipeg Ice,WIN,0,0,5,4
6,Winnipeg Ice,WIN,GLCS,1,REG,,,1,2,3,6,7,10,Win_Reg,2,No,1,Shreveport Mudbugs,MUD,2,4,12,4
6,Shreveport Mudbugs,MUD,GLCS,1,REG,,,1,2,2,4,12,4,Loss_Reg,0,No,-1,Winnipeg Ice,WIN,3,6,7,10
7,Detroit Danglers,DET,GLCS,1,REG,,,2,1,1,2,8,8,Loss_OT,1,No,-1,Shreveport Mudbugs,MUD,2,4,10,7
7,Shreveport Mudbugs,MUD,GLCS,1,REG,,,2,1,2,4,10,7,Win_OT,2,No,1,Detroit Danglers,DET,1,2,8,8
8,Detroit Danglers,DET,GLCS,1,REG,,,2,2,3,5,10,9,Win_Reg,2,No,1,Shreveport Mudbugs,MUD,2,4,11,7
8,Shreveport Mudbugs,MUD,GLCS,1,REG,,,2,2,2,4,11,7,Loss_Reg,0,No,-1,Detroit Danglers,DET,3,5,10,9
9,Detroit Danglers,DET,GLCS,1,REG,,,2,1,3,6,13,8,Win_Reg,2,No,1,Sudbury Frostbite,SUD,2,4,10,10
9,Sudbury Frostbite,SUD,GLCS,1,REG,,,2,1,2,4,10,10,Loss_Reg,0,No,-1,Detroit Danglers,DET,3,6,13,8
10,Detroit Danglers,DET,GLCS,1,REG,,,2,2,0,0,9,9,Loss_Reg,0,No,-1,Sudbury Frostbite,SUD,1,1,10,9
10,Sudbury Frostbite,SUD,GLCS,1,REG,,,2,2,1,1,10,9,Win_Reg,2,Yes,1,Detroit Danglers,DET,0,0,9,9
11,Shreveport Mudbugs,MUD,GLCS,1,REG,,,2,1,4,7,20,6,Win_Reg,2,No,3,Winnipeg Ice,WIN,1,2,7,16
11,Winnipeg Ice,WIN,GLCS,1,REG,,,2,1,1,2,7,16,Loss_Reg,0,No,-3,Shreveport Mudbugs,MUD,4,7,20,6
12,Shreveport Mudbugs,MUD,GLCS,1,REG,,,2,2,2,4,14,8,Loss_Reg,0,No,-2,Winnipeg Ice,WIN,4,8,12,12
12,Winnipeg Ice,WIN,GLCS,1,REG,,,2,2,4,8,12,12,Win_Reg,2,No,2,Shreveport Mudbugs,MUD,2,4,14,8
13,Sudbury Frostbite,SUD,GLCS,1,REG,,,1,2,0,0,7,16,Loss_OT,1,No,-1,Shreveport Mudbugs,MUD,1,0,17,7
13,Shreveport Mudbugs,MUD,GLCS,1,REG,,,1,2,1,0,17,7,Win_OT,2,Yes,1,Sudbury Frostbite,SUD,0,0,7,16
14,Sudbury Frostbite,SUD,GLCS,1,REG,,,1,1,0,0,10,16,Loss_OT,1,No,-1,Shreveport Mudbugs,MUD,1,2,17,10
14,Shreveport Mudbugs,MUD,GLCS,1,REG,,,1,1,1,2,17,10,Win_OT,2,Yes,1,Sudbury Frostbite,SUD,0,0,10,16
15,Sudbury Frostbite,SUD,GLCS,1,REG,,,2,1,1,2,6,6,Loss_Reg,0,No,-2,Winnipeg Ice,WIN,3,5,9,5
15,Winnipeg Ice,WIN,GLCS,1,REG,,,2,1,3,5,9,5,Win_Reg,2,No,2,Sudbury Frostbite,SUD,1,2,6,6
16,Sudbury Frostbite,SUD,GLCS,1,REG,,,2,2,1,2,5,9,Win_Reg,2,Yes,1,Winnipeg Ice,WIN,0,0,9,4
16,Winnipeg Ice,WIN,GLCS,1,REG,,,2,2,0,0,9,4,Loss_Reg,0,No,-1,Sudbury Frostbite,SUD,1,2,5,9